"TOP 15","Song Name","Streams","Artist","Artist Followers","Genre","Release Date","Popularity","Danceability","Energy","Loudness","Speechiness","Acousticness","Liveness","Tempo","Duration (ms)","Valence","Chord"
0,"Who's Laughing Now","4,526,982","Ava Max",3916979,"['dance pop', 'pop']","2020-09-18",73,0.648,0.641,-5.521,0.0389,0.00565,0.109,184.021,180348,0.505,"G"
0,"Sweet but Psycho","4,502,853","Ava Max",3916979,"['dance pop', 'pop']","2020-09-18",81,0.72,0.706,-4.719,0.0473,0.0684,0.166,133.002,187436,0.62,"C#/Db"
0,"Del Mar","5,698,099","Ozuna, Doja Cat, Sia",29238936,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']","2020-09-04",79,0.759,0.636,-5.585,0.0369,0.0224,0.166,109.976,214507,0.536,"F#/Gb"
0,"Hit Different","5,049,863","SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign",5888533,"['pop', 'pop rap', 'r&b']","2020-09-04",74,0.679,0.516,-6.371,0.0452,0.199,0.0965,120.074,202008,0.716,"C"
0,"Nobody's Love","4,957,966","Maroon 5",32279979,"['pop', 'pop rock']","2021-06-11",73,0.485,0.567,-6.456,0.0388,0.316,0.0949,93.676,211254,0.157,"C#/Db"
0,"Máquina do Tempo","4,938,139","Matuê",3263283,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']","2020-09-10",70,0.629,0.727,-4.387,0.0499,0.0647,0.138,149.978,230400,0.132,"E"
0,"Fuckst mich nur ab","4,898,520","Bonez MC",1683006,"['german hip hop', 'hamburg hip hop']","2020-09-10",63,0.817,0.468,-10.945,0.287,0.233,0.0905,104.875,182931,0.237,"C#/Db"
0,"Jangueo","4,877,753","Alex Rose, Rafa Pabön",2168452,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']","2019-11-08",74,0.861,0.678,-4.157,0.0536,0.253,0.106,103.994,259600,0.723,"G#/Ab"
0,"We Paid (feat. 42 Dugg)","4,776,686","Lil Baby",7816213,"['atl hip hop', 'atl trap', 'rap', 'trap']","2020-05-01",76,0.926,0.542,-5.064,0.293,0.135,0.0877,135.14,181929,0.564,"C#/Db"
0,"Ihr Hobby","4,723,116","Bonez MC, Maxwell",1683006,"['german hip hop', 'hamburg hip hop']","2020-09-10",59,0.774,0.814,-6.145,0.0584,0.204,0.118,109.019,185330,0.254,"A#/Bb"
0,"When I Look At You","4,652,583","Miley Cyrus",15778531,"['dance pop', 'pop', 'post-teen pop']","2009-01-01",63,0.459,0.545,-4.874,0.0282,0.142,0.105,137.941,248587,0.194,"F#/Gb"
0,"Boss Bitch","4,620,838","Doja Cat",8671649,"['dance pop', 'pop']","2020-01-23",81,0.707,0.955,-4.593,0.222,0.127,0.202,125.989,134240,0.575,"A#/Bb"
0,"Ain't It Different (feat. AJ Tracey & Stormzy)","4,602,336","Headie One",328877,"['uk hip hop']","2020-08-20",69,0.767,0.569,-6.805,0.216,0.00988,0.109,77.052,196363,0.524,"E"
0,"Some Say - Felix Jaehn Remix","4,598,325","Nea",38111,"['scandipop', 'swedish pop']","2020-01-10",77,0.682,0.7,-5.591,0.0397,0.406,0.174,120.03,186878,0.637,"F#/Gb"
1,"Savage Remix (feat. Beyoncé)","4,568,308","Beyoncé, Megan Thee Stallion",28335112,"['dance pop', 'pop', 'post-teen pop', 'r&b']","2020-04-29",73,0.822,0.743,-4.772,0.28,0.016,0.127,84.459,242001,0.636,"A#/Bb"
0,"Lithuania (feat. Travis Scott)","5,949,270","Big Sean",8673345,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","2020-09-04",62,0.676,0.82,-5.217,0.0554,0.0493,0.615,152.028,199250,0.618,"G"
0,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)","5,117,128","Saweetie",1255573,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']","2020-08-28",64,0.948,0.63,-7.011,0.219,0.00647,0.0737,100.032,253569,0.425,"C#/Db"
0,"Not Shy","4,982,232","ITZY",2384076,"['k-pop girl group']","2020-08-17",73,0.776,0.911,-3.08,0.131,0.155,0.268,101.027,177728,0.56,"D"
0,"The Plan - From the Motion Picture ""TENET""","4,876,238","Travis Scott",17732077,"['rap', 'slap house']","2020-08-22",67,0.433,0.443,-10.568,0.0361,0.0922,0.117,79.903,185851,0.0363,"C#/Db"
0,"ADMV","4,737,291","Maluma",26784251,"['latin', 'reggaeton', 'reggaeton colombiano']","2020-04-23",72,0.565,0.39,-4.959,0.0556,0.817,0.126,163.781,193700,0.708,"A"
